1129 161
1.833965150215309e-02 -2.271416961099373e-02 0.000000000000000e+00
1.832106489532980e-02 -2.274688586173197e-02 0.000000000000000e+00
1.830117037907183e-02 -2.278191013564015e-02 0.000000000000000e+00
1.827987698315899e-02 -2.281940432551753e-02 0.000000000000000e+00
1.825708778510778e-02 -2.285954142423493e-02 0.000000000000000e+00
1.823269959038086e-02 -2.290250624994481e-02 0.000000000000000e+00
1.820660261152592e-02 -2.294849620897275e-02 0.000000000000000e+00
1.817868014722442e-02 -2.299772209821630e-02 0.000000000000000e+00
1.814880826214266e-02 -2.305040894868375e-02 0.000000000000000e+00
1.811685546798401e-02 -2.310679691179342e-02 0.000000000000000e+00
1.808268240523658e-02 -2.316714219017899e-02 0.000000000000000e+00
1.804614152376315e-02 -2.323171801499288e-02 0.000000000000000e+00
1.800705297312254e-02 -2.330083884214906e-02 0.000000000000000e+00
1.796526986742553e-02 -2.337479641131335e-02 0.000000000000000e+00
1.792061740966819e-02 -2.345392204091030e-02 0.000000000000000e+00
1.787291128909695e-02 -2.353856853481656e-02 0.000000000000000e+00
1.782195729266924e-02 -2.362911143330769e-02 0.000000000000000e+00
1.776755086392918e-02 -2.372595032663868e-02 0.000000000000000e+00
1.770947657849691e-02 -2.382951024351763e-02 0.000000000000000e+00
1.764748285199128e-02 -2.394026514229704e-02 0.000000000000000e+00
1.758135185524760e-02 -2.405867675450989e-02 0.000000000000000e+00
1.751083150697515e-02 -2.418525581652213e-02 0.000000000000000e+00
1.743565551687422e-02 -2.432054493724257e-02 0.000000000000000e+00
1.735554199093985e-02 -2.446512048688508e-02 0.000000000000000e+00
1.727017034742521e-02 -2.461961543124433e-02 0.000000000000000e+00
1.717924310843383e-02 -2.478466125749820e-02 0.000000000000000e+00
1.708242123979112e-02 -2.496094813894870e-02 0.000000000000000e+00
1.697934192695802e-02 -2.514920868061354e-02 0.000000000000000e+00
1.686959940493853e-02 -2.535023967723736e-02 0.000000000000000e+00
1.675279254475289e-02 -2.556484816717108e-02 0.000000000000000e+00
1.662847109561047e-02 -2.579390842811249e-02 0.000000000000000e+00
1.649613763858917e-02 -2.603836423820448e-02 0.000000000000000e+00
1.635528215436988e-02 -2.629917965278767e-02 0.000000000000000e+00
1.620533205434404e-02 -2.657740621726859e-02 0.000000000000000e+00
1.604569070082787e-02 -2.687412297961597e-02 0.000000000000000e+00
1.587569919955888e-02 -2.719049613130360e-02 0.000000000000000e+00
1.569466631907430e-02 -2.752772267376837e-02 0.000000000000000e+00
1.550183745770998e-02 -2.788708624300302e-02 0.000000000000000e+00
1.529641897361029e-02 -2.826990081914142e-02 0.000000000000000e+00
1.507755057933914e-02 -2.867756561389425e-02 0.000000000000000e+00
1.484432053470388e-02 -2.911152071892772e-02 0.000000000000000e+00
1.459573245529744e-02 -2.957329319116360e-02 0.000000000000000e+00
1.433072393722192e-02 -3.006444920388948e-02 0.000000000000000e+00
1.404814936503852e-02 -3.058659104131741e-02 0.000000000000000e+00
1.374676871818438e-02 -3.114136597832876e-02 0.000000000000000e+00
1.342524216592256e-02 -3.173045921701149e-02 0.000000000000000e+00
1.308212462155020e-02 -3.235558521567310e-02 0.000000000000000e+00
1.271585973006336e-02 -3.301847769126954e-02 0.000000000000000e+00
1.232477284661353e-02 -3.372087856740416e-02 0.000000000000000e+00
1.190706275543026e-02 -3.446452609622438e-02 0.000000000000000e+00
1.146079026625239e-02 -3.525115688293786e-02 0.000000000000000e+00
1.098387375175122e-02 -3.608245040360750e-02 0.000000000000000e+00
1.047406911099157e-02 -3.696007306610527e-02 0.000000000000000e+00
9.928965174511464e-03 -3.788561152563325e-02 0.000000000000000e+00
9.345964498557548e-03 -3.886061762094809e-02 0.000000000000000e+00
8.722277497319006e-03 -3.988655813074640e-02 0.000000000000000e+00
8.054909925333061e-03 -4.096482142259681e-02 0.000000000000000e+00
7.340653136485322e-03 -4.209671269276516e-02 0.000000000000000e+00
6.576074142982407e-03 -4.328346388336031e-02 0.000000000000000e+00
5.757509959759507e-03 -4.452619845143686e-02 0.000000000000000e+00
