471 602
9.328880142721500e+00 0.000000000000000e+00 3.327726691220156e-06
9.419219344417687e+00 0.000000000000000e+00 3.249386296063912e-06
9.510420967884357e+00 0.000000000000000e+00 3.169911670090517e-06
9.602493219472141e+00 0.000000000000000e+00 3.089691062275693e-06
9.695445035201889e+00 0.000000000000000e+00 3.009107219653049e-06
9.789284133918070e+00 0.000000000000000e+00 2.928538715853214e-06
9.884018960433751e+00 0.000000000000000e+00 2.848355196339068e-06
9.979658040617212e+00 0.000000000000000e+00 2.768916243156187e-06
1.007621061128736e+01 0.000000000000000e+00 2.690567592972476e-06
1.017368473885899e+01 0.000000000000000e+00 2.613644947574930e-06
1.027208919722033e+01 0.000000000000000e+00 2.538467154312855e-06
1.037143344833919e+01 0.000000000000000e+00 2.465334031200077e-06
1.047172583664307e+01 0.000000000000000e+00 2.394531505988166e-06
1.057297539139530e+01 0.000000000000000e+00 2.326324107497802e-06
1.067519122862984e+01 0.000000000000000e+00 2.260955859530384e-06
1.077838313826423e+01 0.000000000000000e+00 2.198646907682833e-06
1.088255983089465e+01 0.000000000000000e+00 2.139599983011476e-06
1.098773068794002e+01 0.000000000000000e+00 2.083992725188932e-06
1.109390574616986e+01 0.000000000000000e+00 2.031977178057663e-06
1.120109400756725e+01 0.000000000000000e+00 1.983686690600986e-06
1.130930512659791e+01 0.000000000000000e+00 1.939228771142983e-06
1.141854885045263e+01 0.000000000000000e+00 1.898687509743337e-06
1.152883557101377e+01 0.000000000000000e+00 1.862121657651682e-06
1.164017467692737e+01 0.000000000000000e+00 1.829571705959902e-06
1.175257619881076e+01 0.000000000000000e+00 1.801053762962275e-06
1.186605079687442e+01 0.000000000000000e+00 1.776560572854891e-06
1.198060816604448e+01 0.000000000000000e+00 1.756068277400906e-06
1.209625862828293e+01 0.000000000000000e+00 1.739531354949574e-06
1.221301312157212e+01 0.000000000000000e+00 1.726884083126650e-06
1.233088165362297e+01 0.000000000000000e+00 1.718046729273852e-06
1.244987484576358e+01 0.000000000000000e+00 1.712921608831886e-06
1.257000392314666e+01 0.000000000000000e+00 1.711394819071999e-06
1.269127921303606e+01 0.000000000000000e+00 1.713341675545199e-06
1.281371164426235e+01 0.000000000000000e+00 1.718623820596504e-06
1.293731273853271e+01 0.000000000000000e+00 1.727091077864006e-06
1.306209314968753e+01 0.000000000000000e+00 1.738585986751597e-06
1.318806412232476e+01 0.000000000000000e+00 1.752941868663811e-06
1.331523748410851e+01 0.000000000000000e+00 1.769984635891846e-06
1.344362422273558e+01 0.000000000000000e+00 1.789536367938663e-06
1.357323590698464e+01 0.000000000000000e+00 1.811414165598383e-06
1.370408467993368e+01 0.000000000000000e+00 1.835431809859677e-06
1.383618187068176e+01 0.000000000000000e+00 1.861402349038934e-06
1.396953983020309e+01 0.000000000000000e+00 1.889137315665683e-06
1.410417012716885e+01 0.000000000000000e+00 1.918449267237403e-06
1.424008488985590e+01 0.000000000000000e+00 1.949151632945056e-06
1.437729636137526e+01 0.000000000000000e+00 1.981059955100753e-06
1.451581690067281e+01 0.000000000000000e+00 2.013992630153762e-06
1.465565898354138e+01 0.000000000000000e+00 2.047771589208917e-06
1.479683520364360e+01 0.000000000000000e+00 2.082222848299450e-06
1.493935827354575e+01 0.000000000000000e+00 2.117176992063760e-06
1.508324102576289e+01 0.000000000000000e+00 2.152469563967301e-06
1.522849641381562e+01 0.000000000000000e+00 2.187941368842196e-06
1.537513751329897e+01 0.000000000000000e+00 2.223438700517546e-06
1.552317752296387e+01 0.000000000000000e+00 2.258813484013330e-06
1.567262976581165e+01 0.000000000000000e+00 2.293923349411152e-06
1.582350769020191e+01 0.000000000000000e+00 2.328631642707812e-06
1.597582487097432e+01 0.000000000000000e+00 2.362807376596489e-06
1.612959501058467e+01 0.000000000000000e+00 2.396325115018900e-06
1.628483194025551e+01 0.000000000000000e+00 2.429064830286904e-06
1.644154962114190e+01 0.000000000000000e+00 2.460911724310550e-06
1.659976214551246e+01 0.000000000000000e+00 2.491755977794389e-06
1.675948373794608e+01 0.000000000000000e+00 2.521492522122931e-06
1.692072875654464e+01 0.000000000000000e+00 2.550020774849967e-06
1.708351169416202e+01 0.000000000000000e+00 2.577244367304149e-06
1.724784717964948e+01 0.000000000000000e+00 2.603070855680178e-06
1.741374997911799e+01 0.000000000000000e+00 2.627411439749824e-06
1.758123499721718e+01 0.000000000000000e+00 2.650180710871949e-06
1.775031727843166e+01 0.000000000000000e+00 2.671296371603076e-06
1.792101200839442e+01 0.000000000000000e+00 2.690679019850495e-06
1.809333451521763e+01 0.000000000000000e+00 2.708251909899592e-06
1.826730027084094e+01 0.000000000000000e+00 2.723940773137900e-06
1.844292489239724e+01 0.000000000000000e+00 2.737673648041644e-06
1.862022414359599e+01 0.000000000000000e+00 2.749380747531143e-06
1.879921393612419e+01 0.000000000000000e+00 2.758994363808629e-06
1.897991033106499e+01 0.000000000000000e+00 2.766448783405187e-06
1.916232954033382e+01 0.000000000000000e+00 2.771680276160101e-06
1.934648792813213e+01 0.000000000000000e+00 2.774627078146310e-06
1.953240201241857e+01 0.000000000000000e+00 2.775229441324758e-06
1.972008846639776e+01 0.000000000000000e+00 2.773429690050423e-06
1.990956412002631e+01 0.000000000000000e+00 2.769172325522694e-06
