# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
3.799999999999999822e+00 1.278190122235566273e-01 1.469519762859679800e-03 3.355414560607168791e-04
3.850000000000000089e+00 1.278220640727132651e-01 1.505025937942788003e-03 3.365853970811237095e-04
3.899999999999999911e+00 1.277943470372259749e-01 1.540580518682021756e-03 3.355444147819187299e-04
3.950000000000000178e+00 1.277360356578975953e-01 1.576224720337428362e-03 3.324320653252303779e-04
4.000000000000000000e+00 1.276496002359688298e-01 1.612086081566289084e-03 3.272143446214031254e-04
4.049999999999999822e+00 1.275397329612821262e-01 1.648339176515582934e-03 3.210381506692617875e-04
4.099999999999999645e+00 1.274121325089782597e-01 1.685123820955865097e-03 3.147454454340506565e-04
4.150000000000000355e+00 1.272724362000823006e-01 1.722587666497565938e-03 3.084279052850324911e-04
4.200000000000000178e+00 1.271256495025008815e-01 1.760922458895016439e-03 3.019801343471277479e-04
4.250000000000000000e+00 1.269759141649305922e-01 1.800272450990043601e-03 2.964111373320221701e-04
4.299999999999999822e+00 1.268258954600244848e-01 1.840784142544027403e-03 2.923439034089911999e-04
4.349999999999999645e+00 1.266765811464190539e-01 1.882512350260745785e-03 2.897612136066891192e-04
4.400000000000000355e+00 1.265273342859745132e-01 1.925444909234996869e-03 2.889507081680465594e-04
4.450000000000000178e+00 1.263759342502802641e-01 1.969498290743213007e-03 2.900054172758478530e-04
4.500000000000000000e+00 1.262190577876567965e-01 2.014527075866703008e-03 2.935058788027149006e-04
4.549999999999999822e+00 1.260526743844151421e-01 2.060326314438600068e-03 2.996440904999617518e-04
4.599999999999999645e+00 1.258727798261493336e-01 2.106703345237765160e-03 3.085300505118444381e-04
4.650000000000000355e+00 1.256763248781859743e-01 2.153566156770568302e-03 3.216289805755484575e-04
4.700000000000000178e+00 1.254613631133735252e-01 2.200841951784212030e-03 3.376892800868489084e-04
4.750000000000000000e+00 1.252278567086905214e-01 2.248584538087248889e-03 3.557868870616890484e-04
4.799999999999999822e+00 1.249769038608670169e-01 2.296749186153989198e-03 3.739784991373773342e-04
4.849999999999999645e+00 1.247101144684851226e-01 2.345301256254781006e-03 3.913809677506331934e-04
4.900000000000000355e+00 1.244290894458442986e-01 2.394219595031347059e-03 4.081049700289033472e-04
4.950000000000000178e+00 1.241352512829750759e-01 2.443499751135241264e-03 4.232984771726187043e-04
5.000000000000000000e+00 1.238304247531294838e-01 2.493117747800424437e-03 4.370983204971067948e-04
5.049999999999999822e+00 1.235168125244230086e-01 2.543265383017715049e-03 4.495598021483048477e-04
5.099999999999999645e+00 1.231963837108016047e-01 2.594269919528626161e-03 4.607742393015883684e-04
5.150000000000000355e+00 1.228702847896516320e-01 2.646294614572543454e-03 4.709435918931849439e-04
5.200000000000000178e+00 1.225388200995326110e-01 2.699481379836332195e-03 4.797411510939709935e-04
5.250000000000000000e+00 1.222020833826065050e-01 2.753879277796484476e-03 4.879800453530624515e-04
5.299999999999999822e+00 1.218603728155046723e-01 2.809731050814967459e-03 4.957861899728886702e-04
5.349999999999999645e+00 1.215139300030469854e-01 2.867158521397039118e-03 5.030129195949994882e-04
5.400000000000000355e+00 1.211627384180575667e-01 2.926305216139647985e-03 5.105273849559016685e-04
5.450000000000000178e+00 1.208068384435027898e-01 2.987128204989712623e-03 5.191906979167833875e-04
5.500000000000000000e+00 1.204465794521570182e-01 3.049759963713120567e-03 5.285707506705075416e-04
5.549999999999999822e+00 1.200830041811615234e-01 3.114383418956305927e-03 5.394378106086515244e-04
5.599999999999999645e+00 1.197177121592312987e-01 3.180829738022759694e-03 5.510589462816715056e-04
5.650000000000000355e+00 1.193530275592207951e-01 3.248611458430532457e-03 5.637192851249128982e-04
5.700000000000000178e+00 1.189914908814430211e-01 3.317169795203954354e-03 5.772638638247735987e-04
5.750000000000000000e+00 1.186355994161963495e-01 3.386258066290989688e-03 5.916823491146788478e-04
5.799999999999999822e+00 1.182875460174679788e-01 3.456173684195149639e-03 6.067712588291615354e-04
